player_name,season,player_dob,dob_display,forename,surname,pl_index
Jake Caprice,2019/20,1992-11-11,,Jake,Caprice,"Caprice, Jake"
George Carlson,1947/48,1925-07-27,,George,Carlson,"Carlson, George"
George Carlson,1948/49,1925-07-27,,George,Carlson,"Carlson, George"
Mike Carmody,1986/87,1966-02-09,,Mike,Carmody,"Carmody, Mike"
Sebastien Carole,2009/10,1982-09-08,,Sebastien,Carole,"Carole, Sebastien"
Joseph Carter,1936/37,1899-07-27,,Joseph,Carter,"Carter, Joseph"
Bert Cartman,1923/24,1900-02-28,,Bert,Cartman,"Cartman, Bert"
Bert Cartman,1924/25,1900-02-28,,Bert,Cartman,"Cartman, Bert"
Bert Cartman,1925/26,1900-02-28,,Bert,Cartman,"Cartman, Bert"
Bert Cartman,1926/27,1900-02-28,,Bert,Cartman,"Cartman, Bert"
Bert Cartman,1927/28,1900-02-28,,Bert,Cartman,"Cartman, Bert"
Bert Cartman,1928/29,1900-02-28,,Bert,Cartman,"Cartman, Bert"
Bert Cartman,1929/30,1900-02-28,,Bert,Cartman,"Cartman, Bert"
William Cartwright,1946/47,1922-06-11,,William,Cartwright,"Cartwright, William"
William Cartwright,1947/48,1922-06-11,,William,Cartwright,"Cartwright, William"
Arthur Carvell,1932/33,1911-05-26,,Arthur,Carvell,"Carvell, Arthur"
Gerry Casey,1967/68,1941-08-25,,Gerry,Casey,"Casey, Gerry"
Gerry Casey,1968/69,1941-08-25,,Gerry,Casey,"Casey, Gerry"
Gerry Casey,1969/70,1941-08-25,,Gerry,Casey,"Casey, Gerry"
Jake Cassidy,2011/12,1993-02-09,,Jake,Cassidy,"Cassidy, Jake"
Jake Cassidy,2012/13,1993-02-09,,Jake,Cassidy,"Cassidy, Jake"
Jake Cassidy,2013/14,1993-02-09,,Jake,Cassidy,"Cassidy, Jake"
James Cassidy,1937/38,1911-08-03,,James,Cassidy,"Cassidy, James"
James Cassidy,1938/39,1911-08-03,,James,Cassidy,"Cassidy, James"
Timothy Cathalina,2010/11,1985-01-24,,Timothy,Cathalina,"Cathalina, Timothy"
Harold Chadwick,1947/48,1919-01-25,,Harold,Chadwick,"Chadwick, Harold"
Harold Chadwick,1948/49,1919-01-25,,Harold,Chadwick,"Chadwick, Harold"
Dave Challinor,1996/97,1975-10-02,,Dave,Challinor,"Challinor, Dave"
Dave Challinor,1997/98,1975-10-02,,Dave,Challinor,"Challinor, Dave"
Dave Challinor,1998/99,1975-10-02,,Dave,Challinor,"Challinor, Dave"
Dave Challinor,1999/00,1975-10-02,,Dave,Challinor,"Challinor, Dave"
Dave Challinor,2000/01,1975-10-02,,Dave,Challinor,"Challinor, Dave"
Dave Challinor,2001/02,1975-10-02,,Dave,Challinor,"Challinor, Dave"
Billy Chalmers,1925/26,1901-04-03,,Billy,Chalmers,"Chalmers, Billy"
Logan Chalmers,2022/23,2000-03-24,,Logan,Chalmers,"Chalmers, Logan"
Alec Chamberlain,1987/88,1964-06-20,,Alec,Chamberlain,"Chamberlain, Alec"
Aaron Chapman,2019/20,1990-05-29,,Aaron,Chapman,"Chapman, Aaron"
Billy Charlton,1925/26,1900-10-10,,Billy,Charlton,"Charlton, Billy"
Billy Charlton,1926/27,1900-10-10,,Billy,Charlton,"Charlton, Billy"
Billy Charlton,1927/28,1900-10-10,,Billy,Charlton,"Charlton, Billy"
Billy Charlton,1928/29,1900-10-10,,Billy,Charlton,"Charlton, Billy"
Billy Charlton,1929/30,1900-10-10,,Billy,Charlton,"Charlton, Billy"
Wilf Charlton,1957/58,1933-09-12,,Wilf,Charlton,"Charlton, Wilf"
Wilf Charlton,1958/59,1933-09-12,,Wilf,Charlton,"Charlton, Wilf"
Wilf Charlton,1959/60,1933-09-12,,Wilf,Charlton,"Charlton, Wilf"
Wilf Charlton,1960/61,1933-09-12,,Wilf,Charlton,"Charlton, Wilf"
Frank Checkland,1923/24,1895-07-31,,Frank,Checkland,"Checkland, Frank"
Frank Checkland,1924/25,1895-07-31,,Frank,Checkland,"Checkland, Frank"
Ted Chiverton,1932/33,,Q1 1913,Ted,Chiverton,"Chiverton, Ted"
Ted Chiverton,1934/35,,Q1 1913,Ted,Chiverton,"Chiverton, Ted"
Ben Chorley,2007/08,1982-09-30,,Ben,Chorley,"Chorley, Ben"
Ben Chorley,2008/09,1982-09-30,,Ben,Chorley,"Chorley, Ben"
Archie Clark,1935/36,1902-04-04,,Archie,Clark,"Clark, Archie"
Archie Clark,1936/37,1902-04-04,,Archie,Clark,"Clark, Archie"
Archie Clark,1937/38,1902-04-04,,Archie,Clark,"Clark, Archie"
Archie Clark,1938/39,1902-04-04,,Archie,Clark,"Clark, Archie"
Colin Clarke,1984/85,1962-10-30,,Colin,Clarke,"Clarke, Colin"
Eddie Clarke,2016/17,1998-12-29,,Eddie,Clarke,"Clarke, Eddie"
Eddie Clarke,2017/18,1998-12-29,,Eddie,Clarke,"Clarke, Eddie"
Peter Clarke,2019/20,1982-01-03,,Peter,Clarke,"Clarke, Peter"
Peter Clarke,2020/21,1982-01-03,,Peter,Clarke,"Clarke, Peter"
Peter Clarke,2021/22,1982-01-03,,Peter,Clarke,"Clarke, Peter"
Gordon Clayton,1959/60,1936-11-03,,Gordon,Clayton,"Clayton, Gordon"
Gordon Clayton,1960/61,1936-11-03,,Gordon,Clayton,"Clayton, Gordon"
John Clayton,1984/85,1961-08-20,,John,Clayton,"Clayton, John"
John Clayton,1985/86,1961-08-20,,John,Clayton,"Clayton, John"
Eddie Cliff,1976/77,1951-09-30,,Eddie,Cliff,"Cliff, Eddie"
Eddie Cliff,1977/78,1951-09-30,,Eddie,Cliff,"Cliff, Eddie"
Eddie Cliff,1978/79,1951-09-30,,Eddie,Cliff,"Cliff, Eddie"
Tommy Clinton,1956/57,1926-04-13,,Tommy,Clinton,"Clinton, Tommy"
Larnell Cole,2017/18,1993-03-09,,Larnell,Cole,"Cole, Larnell"
Larnell Cole,2018/19,1993-03-09,,Larnell,Cole,"Cole, Larnell"
Tony Coleman,1962/63,1945-05-02,,Tony,Coleman,"Coleman, Tony"
Tony Coleman,1963/64,1945-05-02,,Tony,Coleman,"Coleman, Tony"
Paul Collings,1988/89,1968-09-30,,Paul,Collings,"Collings, Paul"
Paul Collings,1990/91,1968-09-30,,Paul,Collings,"Collings, Paul"
Paul Collings,1991/92,1968-09-30,,Paul,Collings,"Collings, Paul"
Aaron Collins,2016/17,1997-05-27,,Aaron,Collins,"Collins, Aaron"
Joe Collister,2009/10,1991-12-15,,Joe,Collister,"Collister, Joe"
Joe Collister,2010/11,1991-12-15,,Joe,Collister,"Collister, Joe"
Sean Connelly,2002/03,1970-06-26,,Sean,Connelly,"Connelly, Sean"
Sean Connelly,2003/04,1970-06-26,,Sean,Connelly,"Connelly, Sean"
Bill Conner,1930/31,1902-12-03,,Bill,Conner,"Conner, Bill"
Dick Conner,1961/62,1931-08-13,,Dick,Conner,"Conner, Dick"
John Connor,1947/48,1914-02-01,,John,Connor,"Connor, John"
John Connor,1948/49,1914-02-01,,John,Connor,"Connor, John"
Bobby Conroy,1962/63,1929-06-20,,Bobby,Conroy,"Conroy, Bobby"
Bobby Conroy,1963/64,1929-06-20,,Bobby,Conroy,"Conroy, Bobby"
Bobby Conroy,1964/65,1929-06-20,,Bobby,Conroy,"Conroy, Bobby"
Andy Cook,2016/17,1990-10-18,,Andy,Cook,"Cook, Andy"
Andy Cook,2017/18,1990-10-18,,Andy,Cook,"Cook, Andy"
Andy Cook,2019/20,1990-10-18,,Andy,Cook,"Cook, Andy"
Fred Cook,1921/22,,Unknown,Fred,Cook,"Cook, Fred"
Fred Cook,1922/23,,Unknown,Fred,Cook,"Cook, Fred"
George Cook,1931/32,,~1909,George,Cook,"Cook, George"
Paul Cook,1995/96,1967-02-22,,Paul,Cook,"Cook, Paul"
Paul Cook,1996/97,1967-02-22,,Paul,Cook,"Cook, Paul"
Paul Cook,1997/98,1967-02-22,,Paul,Cook,"Cook, Paul"
Kevin Cooper,2007/08,1975-02-08,,Kevin,Cooper,"Cooper, Kevin"
Steve Cooper,1990/91,1964-06-22,,Steve,Cooper,"Cooper, Steve"
Steve Cooper,1991/92,1964-06-22,,Steve,Cooper,"Cooper, Steve"
Steve Cooper,1992/93,1964-06-22,,Steve,Cooper,"Cooper, Steve"
Steve Coppell,1973/74,1955-07-09,,Steve,Coppell,"Coppell, Steve"
Steve Coppell,1974/75,1955-07-09,,Steve,Coppell,"Coppell, Steve"
Paul Corry,2012/13,1991-02-03,,Paul,Corry,"Corry, Paul"
Andy Coughlin,2011/12,1993-01-31,,Andy,Coughlin,"Coughlin, Andy"
Alan Cox,1946/47,1920-09-04,,Alan,Cox,"Cox, Alan"
Alan Cox,1947/48,1920-09-04,,Alan,Cox,"Cox, Alan"
Danny Coyne,1992/93,1973-08-27,,Danny,Coyne,"Coyne, Danny"
Danny Coyne,1993/94,1973-08-27,,Danny,Coyne,"Coyne, Danny"
Danny Coyne,1994/95,1973-08-27,,Danny,Coyne,"Coyne, Danny"
Danny Coyne,1995/96,1973-08-27,,Danny,Coyne,"Coyne, Danny"
Danny Coyne,1996/97,1973-08-27,,Danny,Coyne,"Coyne, Danny"
Danny Coyne,1997/98,1973-08-27,,Danny,Coyne,"Coyne, Danny"
Danny Coyne,1998/99,1973-08-27,,Danny,Coyne,"Coyne, Danny"
Danny Coyne,2007/08,1973-08-27,,Danny,Coyne,"Coyne, Danny"
Danny Coyne,2008/09,1973-08-27,,Danny,Coyne,"Coyne, Danny"
John Coyne,1971/72,1951-07-18,,John,Coyne,"Coyne, John"
Tommy Coyne,1992/93,1962-11-14,,Tommy,Coyne,"Coyne, Tommy"
Steve Craven,1977/78,1957-09-17,,Steve,Craven,"Craven, Steve"
Steve Craven,1978/79,1957-09-17,,Steve,Craven,"Craven, Steve"
Steve Craven,1979/80,1957-09-17,,Steve,Craven,"Craven, Steve"
Steve Craven,1980/81,1957-09-17,,Steve,Craven,"Craven, Steve"
Steve Craven,1981/82,1957-09-17,,Steve,Craven,"Craven, Steve"
Steve Craven,1987/88,1957-09-17,,Steve,Craven,"Craven, Steve"
Ali Crawford,2020/21,1991-07-30,,Ali,Crawford,"Crawford, Ali"
Bruce Crawford,1965/66,1938-10-10,,Bruce,Crawford,"Crawford, Bruce"
Bruce Crawford,1966/67,1938-10-10,,Bruce,Crawford,"Crawford, Bruce"
Aaron Cresswell,2008/09,1989-12-15,,Aaron,Cresswell,"Cresswell, Aaron"
Aaron Cresswell,2009/10,1989-12-15,,Aaron,Cresswell,"Cresswell, Aaron"
Aaron Cresswell,2010/11,1989-12-15,,Aaron,Cresswell,"Cresswell, Aaron"
Billy Crewe,1924/25,1901-11-26,,Billy,Crewe,"Crewe, Billy"
Arthur Crompton,1935/36,1903-01-09,,Arthur,Crompton,"Crompton, Arthur"
Reg Cropper,1929/30,1902-01-21,,Reg,Cropper,"Cropper, Reg"
Eddie Crossan,1957/58,1925-11-17,,Eddie,Crossan,"Crossan, Eddie"
Paul Crossley,1969/70,1948-07-14,,Paul,Crossley,"Crossley, Paul"
Paul Crossley,1970/71,1948-07-14,,Paul,Crossley,"Crossley, Paul"
Paul Crossley,1971/72,1948-07-14,,Paul,Crossley,"Crossley, Paul"
Paul Crossley,1972/73,1948-07-14,,Paul,Crossley,"Crossley, Paul"
Paul Crossley,1973/74,1948-07-14,,Paul,Crossley,"Crossley, Paul"
Paul Crossley,1974/75,1948-07-14,,Paul,Crossley,"Crossley, Paul"
Paul Crossley,1975/76,1948-07-14,,Paul,Crossley,"Crossley, Paul"
Tom Croughan,2016/17,1999-09-19,,Tom,Croughan,"Croughan, Tom"
George Crowther,1922/23,,Q2 1892,George,Crowther,"Crowther, George"
Vic Crutchley,1930/31,,Q3 1910,Vic,Crutchley,"Crutchley, Vic"
Jim Cumbes,1966/67,1944-05-04,,Jim,Cumbes,"Cumbes, Jim"
Jim Cumbes,1967/68,1944-05-04,,Jim,Cumbes,"Cumbes, Jim"
Jim Cumbes,1968/69,1944-05-04,,Jim,Cumbes,"Cumbes, Jim"
Jim Cumbes,1969/70,1944-05-04,,Jim,Cumbes,"Cumbes, Jim"
Charlie Cunningham,1921/22,,Unknown,Charlie,Cunningham,"Cunningham, Charlie"
Jack Curnow,1937/38,1910-01-31,,Jack,Curnow,"Curnow, Jack"
Jack Curnow,1938/39,1910-01-31,,Jack,Curnow,"Curnow, Jack"
Craig Curran,2006/07,1989-08-23,,Craig,Curran,"Curran, Craig"
Craig Curran,2007/08,1989-08-23,,Craig,Curran,"Curran, Craig"
Craig Curran,2008/09,1989-08-23,,Craig,Curran,"Curran, Craig"
Craig Curran,2009/10,1989-08-23,,Craig,Curran,"Curran, Craig"
Frank Curran,1947/48,1917-05-31,,Frank,Curran,"Curran, Frank"
Charlie Curtis,1934/35,,Unknown,Charlie,Curtis,"Curtis, Charlie"
Charlie Curtis,1935/36,,Unknown,Charlie,Curtis,"Curtis, Charlie"
Tom Curtis,2002/03,1973-03-01,,Tom,Curtis,"Curtis, Tom"
Frank D'Arcy,1972/73,1946-12-08,,Frank,D'Arcy,"D'Arcy, Frank"
Josh Dacres-Cogley,2021/22,1996-03-12,,Josh,Dacres-Cogley,"Dacres-Cogley, Josh"
Josh Dacres-Cogley,2022/23,1996-03-12,,Josh,Dacres-Cogley,"Dacres-Cogley, Josh"
Eugene Dadi,2003/04,1973-08-20,,Eugene,Dadi,"Dadi, Eugene"
Eugene Dadi,2004/05,1973-08-20,,Eugene,Dadi,"Dadi, Eugene"
Chris Dagnall,2003/04,1986-04-15,,Chris,Dagnall,"Dagnall, Chris"
Chris Dagnall,2004/05,1986-04-15,,Chris,Dagnall,"Dagnall, Chris"
Chris Dagnall,2005/06,1986-04-15,,Chris,Dagnall,"Dagnall, Chris"
Chris Dagnall,2018/19,1986-04-15,,Chris,Dagnall,"Dagnall, Chris"
Dickie Dale,1931/32,1896-05-21,,Dickie,Dale,"Dale, Dickie"
Tim Dalton,1986/87,1965-10-14,,Tim,Dalton,"Dalton, Tim"
Donervon Daniels,2012/13,1993-11-24,,Donervon,Daniels,"Daniels, Donervon"
Luke Daniels,2009/10,1988-01-05,,Luke,Daniels,"Daniels, Luke"
Neil Danns,2019/20,1982-11-23,,Neil,Danns,"Danns, Neil"
Liam Darville,2010/11,1990-10-26,,Liam,Darville,"Darville, Liam"
Ben Davies,2014/15,1995-08-11,,Ben,Davies,"Davies, Ben"
Dai Davies,1983/84,1948-04-01,,Dai,Davies,"Davies, Dai"
Ernie Davies,1936/37,1916-01-31,,Ernie,Davies,"Davies, Ernie"
Ernie Davies,1937/38,1916-01-31,,Ernie,Davies,"Davies, Ernie"
Ernie Davies,1938/39,1916-01-31,,Ernie,Davies,"Davies, Ernie"
Keith Davies,1953/54,1934-02-19,,Keith,Davies,"Davies, Keith"
Mikey Davies,2023/24,2004-09-23,,Mikey,Davies,"Davies, Mikey"
Ray Davies,1951/52,1931-10-03,,Ray,Davies,"Davies, Ray"
Ray Davies,1952/53,1931-10-03,,Ray,Davies,"Davies, Ray"
Ray Davies,1953/54,1931-10-03,,Ray,Davies,"Davies, Ray"
Ray Davies,1954/55,1931-10-03,,Ray,Davies,"Davies, Ray"
Ray Davies,1955/56,1931-10-03,,Ray,Davies,"Davies, Ray"
Ray Davies,1956/57,1931-10-03,,Ray,Davies,"Davies, Ray"
Ray Davies,1957/58,1931-10-03,,Ray,Davies,"Davies, Ray"
Scott Davies,2015/16,1987-02-23,,Scott,Davies,"Davies, Scott"
Scott Davies,2016/17,1987-02-23,,Scott,Davies,"Davies, Scott"
Scott Davies,2017/18,1987-02-23,,Scott,Davies,"Davies, Scott"
Scott Davies,2018/19,1987-02-23,,Scott,Davies,"Davies, Scott"
Scott Davies,2019/20,1987-02-23,,Scott,Davies,"Davies, Scott"
Scott Davies,2020/21,1987-02-23,,Scott,Davies,"Davies, Scott"
Steve Davies,2005/06,1987-12-29,,Steve,Davies,"Davies, Steve"
Steve Davies,2006/07,1987-12-29,,Steve,Davies,"Davies, Steve"
Steve Davies,2007/08,1987-12-29,,Steve,Davies,"Davies, Steve"
Tom Davies,2021/22,1992-04-18,,Tom,Davies,"Davies, Tom"
Tom Davies,2022/23,1992-04-18,,Tom,Davies,"Davies, Tom"
Tom Davies,2023/24,1992-04-18,,Tom,Davies,"Davies, Tom"
Tom Davies,2024/25,1992-04-18,,Tom,Davies,"Davies, Tom"
Samuel Davis,1925/26,1900-05-25,,Samuel,Davis,"Davis, Samuel"
Thomas Davis,1937/38,,~1911,Thomas,Davis,"Davis, Thomas"
Josh Davison,2024/25,1999-09-16,,Josh,Davison,"Davison, Josh"
Josh Davison,2025/26,1999-09-16,,Josh,Davison,"Davison, Josh"
Adam Dawson,2015/16,1992-10-05,,Adam,Dawson,"Dawson, Adam"
Adam Dawson,2016/17,1992-10-05,,Adam,Dawson,"Dawson, Adam"
Frank Dawson,1933/34,1908-10-17,,Frank,Dawson,"Dawson, Frank"
Frank Dawson,1934/35,1908-10-17,,Frank,Dawson,"Dawson, Frank"
Frank Dawson,1935/36,1908-10-17,,Frank,Dawson,"Dawson, Frank"
Alf Day,1938/39,1907-10-02,,Alf,Day,"Day, Alf"
Dixie Dean,1923/24,1907-01-22,,Dixie,Dean,"Dean, Dixie"
Dixie Dean,1924/25,1907-01-22,,Dixie,Dean,"Dean, Dixie"
Ronnie Dellow,1935/36,1914-07-13,,Ronnie,Dellow,"Dellow, Ronnie"
Ronnie Dellow,1936/37,1914-07-13,,Ronnie,Dellow,"Dellow, Ronnie"
Ronnie Dellow,1937/38,1914-07-13,,Ronnie,Dellow,"Dellow, Ronnie"
Ronnie Dellow,1938/39,1914-07-13,,Ronnie,Dellow,"Dellow, Ronnie"
Dave Demaine,1961/62,1942-05-07,,Dave,Demaine,"Demaine, Dave"
John Dempsey,1967/68,1951-04-02,,John,Dempsey,"Dempsey, John"
John Dempsey,1968/69,1951-04-02,,John,Dempsey,"Dempsey, John"
John Dempsey,1969/70,1951-04-02,,John,Dempsey,"Dempsey, John"
John Dempsey,1970/71,1951-04-02,,John,Dempsey,"Dempsey, John"
John Dempsey,1971/72,1951-04-02,,John,Dempsey,"Dempsey, John"
Kristian Dennis,2023/24,1990-03-12,,Kristian,Dennis,"Dennis, Kristian"
Kristian Dennis,2024/25,1990-03-12,,Kristian,Dennis,"Dennis, Kristian"
Kristian Dennis,2025/26,1990-03-12,,Kristian,Dennis,"Dennis, Kristian"
Martin Devaney,2011/12,1980-06-01,,Martin,Devaney,"Devaney, Martin"
James Devine,2016/17,1999-07-26,,James,Devine,"Devine, James"
Emmanuel Dieseruvwe,2021/22,1995-02-20,,Emmanuel,Dieseruvwe,"Dieseruvwe, Emmanuel"
Vince Dillon,1950/51,1923-10-02,,Vince,Dillon,"Dillon, Vince"
Vince Dillon,1951/52,1923-10-02,,Vince,Dillon,"Dillon, Vince"
Vince Dillon,1952/53,1923-10-02,,Vince,Dillon,"Dillon, Vince"
Ernie Dixon,1930/31,1901-07-10,,Ernie,Dixon,"Dixon, Ernie"
Ernie Dixon,1931/32,1901-07-10,,Ernie,Dixon,"Dixon, Ernie"
Ernie Dixon,1932/33,1901-07-10,,Ernie,Dixon,"Dixon, Ernie"
Stan Docking,1938/39,1914-12-13,,Stan,Docking,"Docking, Stan"
Ernie Dodd,1933/34,1914-05-01,,Ernie,Dodd,"Dodd, Ernie"
Ernie Dodd,1934/35,1914-05-01,,Ernie,Dodd,"Dodd, Ernie"
Ernie Dodd,1935/36,1914-05-01,,Ernie,Dodd,"Dodd, Ernie"
Ernie Dodd,1936/37,1914-05-01,,Ernie,Dodd,"Dodd, Ernie"
Jim Dodd,1956/57,1933-12-12,,Jim,Dodd,"Dodd, Jim"
Jim Dodd,1957/58,1933-12-12,,Jim,Dodd,"Dodd, Jim"
Jim Dodd,1958/59,1933-12-12,,Jim,Dodd,"Dodd, Jim"
Jim Dodd,1959/60,1933-12-12,,Jim,Dodd,"Dodd, Jim"
Janoi Donacien,2014/15,1993-11-03,,Janoi,Donacien,"Donacien, Janoi"
Ryan Donaldson,2011/12,1991-05-01,,Ryan,Donaldson,"Donaldson, Ryan"
Cyril Done,1952/53,1920-10-21,,Cyril,Done,"Done, Cyril"
Cyril Done,1953/54,1920-10-21,,Cyril,Done,"Done, Cyril"
Cyril Done,1954/55,1920-10-21,,Cyril,Done,"Done, Cyril"
George Donnelly,2014/15,1988-05-28,,George,Donnelly,"Donnelly, George"
Rory Donnelly,2014/15,1992-02-18,,Rory,Donnelly,"Donnelly, Rory"
Ross Doohan,2021/22,1998-03-29,,Ross,Doohan,"Doohan, Ross"
Ross Doohan,2022/23,1998-03-29,,Ross,Doohan,"Doohan, Ross"
Tom Doonan,1950/51,1922-10-05,,Tom,Doonan,"Doonan, Tom"
Declan Drysdale,2016/17,1999-11-14,,Declan,Drysdale,"Drysdale, Declan"
Declan Drysdale,2017/18,1999-11-14,,Declan,Drysdale,"Drysdale, Declan"
Declan Drysdale,2024/25,1999-11-14,,Declan,Drysdale,"Drysdale, Declan"
Stanley Duff,1937/38,,Q1 1919,Stanley,Duff,"Duff, Stanley"
Alan Duffy,1971/72,1949-12-20,,Alan,Duffy,"Duffy, Alan"
Alan Duffy,1972/73,1949-12-20,,Alan,Duffy,"Duffy, Alan"
Mark Duffy,2021/22,1985-10-07,,Mark,Duffy,"Duffy, Mark"
Adam Dugdale,2013/14,1987-09-12,,Adam,Dugdale,"Dugdale, Adam"
Adam Dugdale,2014/15,1987-09-12,,Adam,Dugdale,"Dugdale, Adam"
Mitch Duggan,2014/15,1997-03-20,,Mitch,Duggan,"Duggan, Mitch"
Mitch Duggan,2016/17,1997-03-20,,Mitch,Duggan,"Duggan, Mitch"
Mitch Duggan,2017/18,1997-03-20,,Mitch,Duggan,"Duggan, Mitch"
Jack Dunn,2016/17,1994-11-19,,Jack,Dunn,"Dunn, Jack"
Jack Dunn,2017/18,1994-11-19,,Jack,Dunn,"Dunn, Jack"
Barry Dyson,1962/63,1942-09-06,,Barry,Dyson,"Dyson, Barry"
Barry Dyson,1963/64,1942-09-06,,Barry,Dyson,"Dyson, Barry"
Barry Dyson,1964/65,1942-09-06,,Barry,Dyson,"Dyson, Barry"
Barry Dyson,1965/66,1942-09-06,,Barry,Dyson,"Dyson, Barry"
Barry Dyson,1966/67,1942-09-06,,Barry,Dyson,"Dyson, Barry"
Harry Eastham,1948/49,1917-06-30,,Harry,Eastham,"Eastham, Harry"
Harry Eastham,1949/50,1917-06-30,,Harry,Eastham,"Eastham, Harry"
Harry Eastham,1950/51,1917-06-30,,Harry,Eastham,"Eastham, Harry"
Harry Eastham,1951/52,1917-06-30,,Harry,Eastham,"Eastham, Harry"
Harry Eastham,1952/53,1917-06-30,,Harry,Eastham,"Eastham, Harry"
Steve Eaton,1978/79,1959-12-25,,Steve,Eaton,"Eaton, Steve"
Nathan Eccleston,2012/13,1990-12-30,,Nathan,Eccleston,"Eccleston, Nathan"
Gareth Edds,2008/09,1981-02-03,,Gareth,Edds,"Edds, Gareth"
Gareth Edds,2009/10,1981-02-03,,Gareth,Edds,"Edds, Gareth"
Billy Eden,1934/35,1905-07-01,,Billy,Eden,"Eden, Billy"
Billy Eden,1935/36,1905-07-01,,Billy,Eden,"Eden, Billy"
Billy Eden,1936/37,1905-07-01,,Billy,Eden,"Eden, Billy"
Billy Eden,1937/38,1905-07-01,,Billy,Eden,"Eden, Billy"
Billy Eden,1938/39,1905-07-01,,Billy,Eden,"Eden, Billy"
Christian Edwards,2002/03,1975-11-23,,Christian,Edwards,"Edwards, Christian"
Elfyn Edwards,1979/80,1960-05-04,,Elfyn,Edwards,"Edwards, Elfyn"
Elfyn Edwards,1980/81,1960-05-04,,Elfyn,Edwards,"Edwards, Elfyn"
Malcolm Edwards,1962/63,1939-10-25,,Malcolm,Edwards,"Edwards, Malcolm"
Malcolm Edwards,1963/64,1939-10-25,,Malcolm,Edwards,"Edwards, Malcolm"
Mike Edwards,1994/95,1974-09-10,,Mike,Edwards,"Edwards, Mike"
Ryan Edwards,2013/14,1993-10-07,,Ryan,Edwards,"Edwards, Ryan"
Steve Edwards,1984/85,1958-01-11,,Steve,Edwards,"Edwards, Steve"
Steve Edwards,1985/86,1958-01-11,,Steve,Edwards,"Edwards, Steve"
Steve Edwards,1986/87,1958-01-11,,Steve,Edwards,"Edwards, Steve"
William Edwards,1936/37,,Unknown,William,Edwards,"Edwards, William"
Tommy Eglington,1957/58,1923-01-15,,Tommy,Eglington,"Eglington, Tommy"
Tommy Eglington,1958/59,1923-01-15,,Tommy,Eglington,"Eglington, Tommy"
Tommy Eglington,1959/60,1923-01-15,,Tommy,Eglington,"Eglington, Tommy"
Tommy Eglington,1960/61,1923-01-15,,Tommy,Eglington,"Eglington, Tommy"
Lateef Elford-Alliyu,2010/11,1992-06-01,,Lateef,Elford-Alliyu,"Elford-Alliyu, Lateef"
Lateef Elford-Alliyu,2011/12,1992-06-01,,Lateef,Elford-Alliyu,"Elford-Alliyu, Lateef"
Mark Ellis,2018/19,1988-09-30,,Mark,Ellis,"Ellis, Mark"
Mark Ellis,2019/20,1988-09-30,,Mark,Ellis,"Ellis, Mark"
Mark Ellis,2020/21,1988-09-30,,Mark,Ellis,"Ellis, Mark"
Kevin Ellison,2006/07,1979-02-23,,Kevin,Ellison,"Ellison, Kevin"
Norman Ellison,1949/50,1929-11-02,,Norman,Ellison,"Ellison, Norman"
Norman Ellison,1950/51,1929-11-02,,Norman,Ellison,"Ellison, Norman"
Scott Endersby,1981/82,1962-02-20,,Scott,Endersby,"Endersby, Scott"
Scott Endersby,1982/83,1962-02-20,,Scott,Endersby,"Endersby, Scott"
Bernard Evans,1963/64,1937-01-04,,Bernard,Evans,"Evans, Bernard"
Clive Evans,1976/77,1957-05-01,,Clive,Evans,"Evans, Clive"
Clive Evans,1977/78,1957-05-01,,Clive,Evans,"Evans, Clive"
Clive Evans,1978/79,1957-05-01,,Clive,Evans,"Evans, Clive"
Clive Evans,1979/80,1957-05-01,,Clive,Evans,"Evans, Clive"
Clive Evans,1980/81,1957-05-01,,Clive,Evans,"Evans, Clive"
Dennis Evans,1958/59,1935-07-23,,Dennis,Evans,"Evans, Dennis"
Dennis Evans,1959/60,1935-07-23,,Dennis,Evans,"Evans, Dennis"
Herbie Evans,1926/27,1894-08-30,,Herbie,Evans,"Evans, Herbie"
Herbie Evans,1927/28,1894-08-30,,Herbie,Evans,"Evans, Herbie"
Jabez Evans,1922/23,1895-04-29,,Jabez,Evans,"Evans, Jabez"
Jabez Evans,1923/24,1895-04-29,,Jabez,Evans,"Evans, Jabez"
Jabez Evans,1924/25,1895-04-29,,Jabez,Evans,"Evans, Jabez"
Delroy Facey,2005/06,1980-04-22,,Delroy,Facey,"Facey, Delroy"
Kit Fagan,1971/72,1950-06-05,,Kit,Fagan,"Fagan, Kit"
Kit Fagan,1972/73,1950-06-05,,Kit,Fagan,"Fagan, Kit"
Kit Fagan,1973/74,1950-06-05,,Kit,Fagan,"Fagan, Kit"
Kit Fagan,1974/75,1950-06-05,,Kit,Fagan,"Fagan, Kit"
David Fairclough,1989/90,1957-01-05,,David,Fairclough,"Fairclough, David"
Peter Fairclough,1921/22,,Unknown,Peter,Fairclough,"Fairclough, Peter"
Dick Fairhurst,1935/36,1911-09-05,,Dick,Fairhurst,"Fairhurst, Dick"
Dick Fairhurst,1936/37,1911-09-05,,Dick,Fairhurst,"Fairhurst, Dick"
Matthias Fanimo,2014/15,1994-01-28,,Matthias,Fanimo,"Fanimo, Matthias"
Simon Farnworth,1986/87,1963-10-28,,Simon,Farnworth,"Farnworth, Simon"
Peter Farrell,1957/58,1922-08-16,,Peter,Farrell,"Farrell, Peter"
